[2024-11-19 23:02:35,905: INFO: main: Starting the project]
[2024-11-20 01:45:39,449: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 01:45:39,451: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 01:46:42,130: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 01:46:42,132: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 01:47:49,135: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 01:47:49,137: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 01:49:36,259: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 01:49:36,260: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 01:53:07,691: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 01:53:07,692: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 01:58:59,575: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 01:58:59,576: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:05:00,575: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:05:00,577: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:06:12,420: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:06:12,421: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:06:21,283: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:06:21,284: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:07:08,933: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:07:08,935: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:07:08,936: INFO: common: created directory at: artifacts]
[2024-11-20 02:07:08,937: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:07:10,228: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:07:10,229: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:07:10,230: INFO: common: created directory at: artifacts]
[2024-11-20 02:07:10,231: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:08:19,657: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:08:19,659: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:08:19,660: INFO: common: created directory at: artifacts]
[2024-11-20 02:08:19,660: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:12:41,537: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:12:41,538: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:12:41,539: INFO: common: created directory at: artifacts]
[2024-11-20 02:12:41,539: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:12:55,146: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:13:00,165: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:13:05,455: INFO: common: created directory at: artifacts]
[2024-11-20 02:14:51,121: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:18:54,853: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:18:54,854: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:18:54,855: INFO: common: created directory at: artifacts]
[2024-11-20 02:18:54,856: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:19:49,413: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:19:49,415: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:19:49,416: INFO: common: created directory at: artifacts]
[2024-11-20 02:19:49,417: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:20:24,178: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:20:24,180: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:20:24,181: INFO: common: created directory at: artifacts]
[2024-11-20 02:20:24,182: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:21:01,980: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:21:01,982: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:21:01,983: INFO: common: created directory at: artifacts]
[2024-11-20 02:21:01,983: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:23:42,784: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:23:42,785: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:23:42,786: INFO: common: created directory at: artifacts]
[2024-11-20 02:23:42,787: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:25:24,069: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:25:24,070: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:25:24,072: INFO: common: created directory at: artifacts]
[2024-11-20 02:25:24,073: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-20 02:25:50,443: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-20 02:25:50,445: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-20 02:25:50,446: INFO: common: created directory at: artifacts]
